"city","humidity","wind_speed","barometer","dewpoint","visibility","last_update"
"Caldwell ID","62%","ESE 5 MPH","29.69 in (1005.42 mb)","44°F (7°C)","10.00 mi","04 May 09:15 PM MDT"
"Twin Falls ID","81%","E 5 MPH","29.77 in (1008.13 mb)","41°F (5°C)","10.00 mi","04 May 09:20 PM MDT"
"4 Miles NE Chicago IL","38%","S 9 mph","29.96 in (1014.3 mb)","37°F (3°C)","10.00 mi","4 May 9:53 pm CDT"
"Aurora IL","41%","SE 12 mph","29.94 in","37°F (3°C)","10.00 mi","4 May 9:52 pm CDT"
"2 Miles W Rockford IL","31%","S 12 mph","29.92 in (1012.9 mb)","32°F (0°C)","10.00 mi","4 May 9:54 pm CDT"
"2 Miles E Joliet IL","42%","S 6 mph","29.97 in","39°F (4°C)","10.00 mi","4 May 10:35 pm CDT"
"Eola IL","42%","SE 8 mph","29.94 in (1013.8 mb)","37°F (3°C)","10.00 mi","4 May 9:52 pm CDT"
"Indianapolis IN","51%","E 7 mph","30.05 in (1017.3 mb)","39°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Fort Wayne IN","64%","SE 7 mph","30.06 in (1018.2 mb)","40°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Evansville IN","56%","Calm","30.03 in (1016.6 mb)","43°F (6°C)","10.00 mi","4 May 9:54 pm CDT"
"South Bend IN","51%","S 8 mph","30.04 in (1017.2 mb)","40°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Carmel IN","51%","E 7 mph","30.05 in (1017.3 mb)","39°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Des Moines IA","33%","SW 10 mph","29.83 in (1009.7 mb)","38°F (3°C)","10.00 mi","4 May 9:54 pm CDT"
"Cedar Rapids IA","31%","S 8 mph","29.84 in (1010.1 mb)","30°F (-1°C)","10.00 mi","4 May 9:52 pm CDT"
"3 Miles SSE Davenport IA","29%","S 10 mph","29.88 in (1011.6 mb)","32°F (0°C)","10.00 mi","4 May 9:52 pm CDT"
"Sioux City IA","47%","SE 5 mph","29.80 in (1008.7 mb)","50°F (10°C)","10.00 mi","4 May 9:52 pm CDT"
"Iowa City IA","37%","SE 6 mph","29.87 in (1011.2 mb)","35°F (2°C)","10.00 mi","4 May 9:52 pm CDT"
"Kansas City KS","81%","Vrbl 5 mph","29.88 in (1011.5 mb)","51°F (11°C)","10.00 mi","4 May 9:54 pm CDT"
"3 Miles WSW Prairie Village KS","93%","SE 10 mph","29.88 in (1011.4 mb)","52°F (11°C)","10.00 mi","4 May 9:53 pm CDT"
"Olathe KS","93%","SE 10 mph","29.88 in (1011.4 mb)","52°F (11°C)","10.00 mi","4 May 9:53 pm CDT"
"Topeka KS","81%","SE 10 mph","29.85 in (1010.5 mb)","52°F (11°C)","10.00 mi","4 May 9:53 pm CDT"
"Lawrence KS","87%","SE 8 mph","29.88 in (1011.4 mb)","52°F (11°C)","8.00 mi","4 May 9:52 pm CDT"
"2 Miles NNW Louisville KY","58%","NE 3 mph","30.04 in (1016.9 mb)","42°F (6°C)","10.00 mi","4 May 10:53 pm EDT"
"2 Miles W Lexington KY","59%","E 6 mph","30.07 in (1017.9 mb)","39°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Bowling Green KY","58%","Calm","30.04 in (1017.1 mb)","43°F (6°C)","10.00 mi","4 May 9:53 pm CDT"
"Owensboro KY","54%","Calm","30.03 in (1017.0 mb)","44°F (7°C)","10.00 mi","4 May 9:56 pm CDT"
"Newport KY","86%","Calm","30.09 in (1018.9 mb)","42°F (6°C)","10.00 mi","4 May 10:53 pm EDT"
"5 Miles NNW Gretna LA","64%","S 7 mph","29.97 in (1014.3 mb)","62°F (17°C)","10.00 mi","4 May 9:53 pm CDT"
"Baton Rouge LA","57%","SE 5 mph","29.94 in (1013.8 mb)","58°F (14°C)","10.00 mi","4 May 9:53 pm CDT"
"2 Miles E Shreveport LA","61%","SE 9 mph","29.85 in","61°F (16°C)","10.00 mi","4 May 9:56 pm CDT"
"2 Miles ESE Metairie LA","69%","SE 7 mph","29.96 in (1014.8 mb)","64°F (18°C)","10.00 mi","4 May 9:53 pm CDT"
"Lafayette LA","71%","Calm","29.92 in (1013.2 mb)","64°F (18°C)","10.00 mi","4 May 9:53 pm CDT"
"Portland ME","83%","N 7 mph","30.04 in (1017.3 mb)","43°F (6°C)","10.00 mi","4 May 10:51 pm EDT"
"New Auburn ME","90%","N 7 mph","30.05 in (1018.5 mb)","44°F (7°C)","10.00 mi","4 May 10:56 pm EDT"
"Coe Park ME","77%","NE 15 mph","30.05 in (1017.6 mb)","40°F (4°C)","10.00 mi","4 May 10:53 pm EDT"
"New Auburn ME","90%","N 7 mph","30.05 in (1018.5 mb)","44°F (7°C)","10.00 mi","4 May 10:56 pm EDT"
"2 Miles NNW Biddeford ME","83%","N 7 mph","30.04 in (1017.3 mb)","43°F (6°C)","10.00 mi","4 May 10:51 pm EDT"
"Boston MA","63%","NW 9 mph","30.05 in (1017.4 mb)","38°F (3°C)","10.00 mi","4 May 10:54 pm EDT"
"Worcester MA","71%","NW 6 mph","30.04 in (1017.8 mb)","36°F (2°C)","10.00 mi","4 May 10:54 pm EDT"
"3 Miles WSW Springfield MA","76%","N 3 mph","30.04 in (1018.0 mb)","40°F (4°C)","10.00 mi","4 May 10:55 pm EDT"
"Lowell MA","69%","N 6 mph","30.06 in (1018.1 mb)","39°F (4°C)","10.00 mi","4 May 10:54 pm EDT"
"Cambridge MA","63%","NW 9 mph","30.05 in (1017.4 mb)","38°F (3°C)","10.00 mi","4 May 10:54 pm EDT"
"Baltimore MD","58%","NA","30.06 in (1017.9 mb)","42°F (6°C)","NA","4 May 10:54 pm EDT"
"Columbia MD","77%","SW 3 mph","30.06 in (1017.7 mb)","44°F (7°C)","10.00 mi","4 May 10:54 pm EDT"
"Germantown MD","93%","NW 3 mph","30.09 in (1020.5 mb)","44°F (7°C)","10.00 mi","4 May 10:56 pm EDT"
"Silver Spring MD","64%","NW 7 mph","30.09 in (1018.8 mb)","43°F (6°C)","10.00 mi","4 May 10:52 pm EDT"
"Waldorf MD","68%","W 6 mph","30.05 in (1018.3 mb)","42°F (6°C)","10.00 mi","4 May 10:55 pm EDT"
"Portland OR","81%","E 5 MPH","29.83 in (1010.16 mb)","48°F (9°C)","10.00 mi","04 May 08:20 PM PDT"
"Grand Rapids MI","69%","SE 7 mph","30.04 in (1017.3 mb)","42°F (6°C)","10.00 mi","4 May 10:53 pm EDT"
"2 Miles N Lansing MI","71%","S 3 mph","30.07 in (1018.4 mb)","41°F (5°C)","10.00 mi","4 May 10:53 pm EDT"
"Ann Arbor MI","79%","Calm","30.07 in (1018.4 mb)","38°F (3°C)","10.00 mi","4 May 10:53 pm EDT"
"Sterling Heights MI","75%","NE 5 mph","30.06 in (1018.6 mb)","42°F (6°C)","10.00 mi","4 May 10:56 pm EDT"
"Minneapolis MN","30%","E 17 G 25 mph","29.79 in (1008.6 mb)","34°F (1°C)","10.00 mi","4 May 9:53 pm CDT"
"Saint Paul MN","34%","E 12 mph","29.80 in (1008.9 mb)","36°F (2°C)","10.00 mi","4 May 9:53 pm CDT"
"Rochester MN","38%","NE 9 mph","29.79 in (1008.5 mb)","37°F (3°C)","10.00 mi","4 May 9:54 pm CDT"
"Duluth MN","81%","E 21 mph","29.93 in","36°F (2°C)","10.00 mi","4 May 10:35 pm CDT"
